model,task,version,machine,strategy,task.1,num_fewshot,limit,acc,acc_stderr,acc_norm,acc_norm_stderr,batch_size,bootstrap_iters,elapsed_time,mc1,mc1_stderr,mc2,mc2_stderr
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-conceptual_physics,1,p3.2xlarge,HF,,5,,0.3829787234042553,0.0317782125023692,0.3829787234042553,,2,100000,180.87863124499927,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-econometrics,1,p3.2xlarge,HF,,5,,0.3245614035087719,0.0440455615737476,0.3245614035087719,,2,100000,180.62012078000043,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-electrical_engineering,1,p3.2xlarge,HF,,5,,0.4068965517241379,0.0409379398126623,0.4068965517241379,,2,100000,180.5981742209988,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-elementary_mathematics,1,p3.2xlarge,HF,,5,,0.2936507936507936,0.023456037383982,0.2936507936507936,,2,100000,181.00442357300017,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-formal_logic,1,p3.2xlarge,HF,,5,,0.246031746031746,0.0385227336492431,0.246031746031746,,2,100000,180.782070923,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-global_facts,1,p3.2xlarge,HF,,5,,0.31,0.0464823198711731,0.31,,2,100000,180.31454164099887,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-high_school_biology,1,p3.2xlarge,HF,,5,,0.5290322580645161,0.028396016402761,0.5290322580645161,,2,100000,180.6088191969993,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-high_school_chemistry,1,p3.2xlarge,HF,,5,,0.3743842364532019,0.0340515538056195,0.3743842364532019,,2,100000,180.54281300100047,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-high_school_computer_science,1,p3.2xlarge,HF,,5,,0.46,0.0500908265962033,0.46,,2,100000,180.4409453340013,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-high_school_geography,1,p3.2xlarge,HF,,5,,0.5808080808080808,0.0351552072867041,0.5808080808080808,,2,100000,180.8905740959999,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-high_school_government_and_politics,1,p3.2xlarge,HF,,5,,0.6683937823834197,0.0339763654108911,0.6683937823834197,,2,100000,180.68595525300043,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-high_school_macroeconomics,1,p3.2xlarge,HF,,5,,0.4179487179487179,0.0250073298824612,0.4179487179487179,,2,100000,180.97977946500032,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-high_school_mathematics,1,p3.2xlarge,HF,,5,,0.2518518518518518,0.0264661175389599,0.2518518518518518,,2,100000,180.6139320370021,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-high_school_microeconomics,1,p3.2xlarge,HF,,5,,0.4285714285714285,0.0321453685978863,0.4285714285714285,,2,100000,180.5642132659996,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-high_school_physics,1,p3.2xlarge,HF,,5,,0.3112582781456953,0.0378044585052673,0.3112582781456953,,2,100000,180.58629283399927,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-high_school_psychology,1,p3.2xlarge,HF,,5,,0.6403669724770642,0.0205752346601237,0.6403669724770642,,2,100000,181.3674948620028,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-high_school_statistics,1,p3.2xlarge,HF,,5,,0.324074074074074,0.0319192344568618,0.324074074074074,,2,100000,180.7896939759994,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-human_aging,1,p3.2xlarge,HF,,5,,0.5739910313901345,0.0331883328621728,0.5739910313901345,,2,100000,180.75119196299784,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-human_sexuality,1,p3.2xlarge,HF,,5,,0.4732824427480916,0.0437902493655389,0.4732824427480916,,2,100000,180.64444141000047,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-international_law,1,p3.2xlarge,HF,,5,,0.5702479338842975,0.0451908202131977,0.5702479338842975,,2,100000,180.3659210620026,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-jurisprudence,1,p3.2xlarge,HF,,5,,0.5555555555555556,0.0480375223519019,0.5555555555555556,,2,100000,180.70575995600305,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-logical_fallacies,1,p3.2xlarge,HF,,5,,0.5460122699386503,0.0391170190467718,0.5460122699386503,,2,100000,181.0236366589997,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-machine_learning,1,p3.2xlarge,HF,,5,,0.3392857142857143,0.0449394906861353,0.3392857142857143,,2,100000,181.6382450209967,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-management,1,p3.2xlarge,HF,,5,,0.6699029126213593,0.0465614711001235,0.6699029126213593,,2,100000,180.30740851800147,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-marketing,1,p3.2xlarge,HF,,5,,0.7393162393162394,0.028760348956523414,0.7393162393162394,,2,100000,180.55861179299973,,,,
